217.12,165.0,274.0
184.15,162.0,222.0
170.26,159.0,199.0
161.4,152.0,178.0
156.21,150.0,166.0
151.81,143.0,161.0
149.45,135.0,159.0
145.85,135.0,154.0
141.12,131.0,151.0
137.23,126.0,153.0
133.35,128.0,147.0
130.77,123.0,140.0
129.03,123.0,138.0
127.02,119.0,136.0
124.71,117.0,136.0
122.86,112.0,141.0
120.79,112.0,130.0
118.39,112.0,127.0
116.21,109.0,125.0
114.33,109.0,122.0
112.09,106.0,121.0
109.72,106.0,116.0
107.79,105.0,113.0
106.8,102.0,116.0
106.2,103.0,116.0
105.45,103.0,112.0
104.47,103.0,111.0
103.99,101.0,110.0
103.66,101.0,110.0
102.88,101.0,107.0
101.81,99.0,108.0
101.11,99.0,108.0
100.63,98.0,107.0
100.3,98.0,110.0
100.23,98.0,107.0
99.76,97.0,109.0
100.45,97.0,108.0
99.46,97.0,111.0
98.8,97.0,106.0
98.3,97.0,104.0
97.87,97.0,105.0
97.66,96.0,106.0
97.36,96.0,105.0
97.28,95.0,106.0
96.69,95.0,103.0
97.17,95.0,107.0
96.05,95.0,100.0
95.72,95.0,103.0
95.65,95.0,105.0
95.37,95.0,101.0
95.49,94.0,103.0
95.2,94.0,101.0
95.05,94.0,100.0
94.67,94.0,100.0
94.66,93.0,103.0
94.41,94.0,102.0
94.4,94.0,104.0
94.15,94.0,99.0
94.12,93.0,100.0
94.33,93.0,102.0
94.46,93.0,106.0
93.77,93.0,100.0
93.7,93.0,100.0
93.47,93.0,100.0
93.29,93.0,99.0
93.53,93.0,101.0
93.61,93.0,100.0
93.54,93.0,100.0
93.55,93.0,102.0
93.57,93.0,105.0
93.58,93.0,104.0
93.41,93.0,103.0
93.34,93.0,100.0
93.42,93.0,101.0
93.56,93.0,103.0
93.14,93.0,96.0
93.66,93.0,102.0
93.95,93.0,104.0
93.61,93.0,103.0
93.75,93.0,104.0
93.48,93.0,102.0
93.55,93.0,103.0
93.88,93.0,102.0
93.99,93.0,102.0
93.26,93.0,101.0
93.32,93.0,105.0
93.38,93.0,104.0
93.82,93.0,105.0
93.43,93.0,103.0
93.4,93.0,104.0
93.46,93.0,100.0
93.71,93.0,103.0
93.91,93.0,108.0
94.43,93.0,103.0
94.22,93.0,111.0
94.85,93.0,104.0
94.07,93.0,104.0
93.93,93.0,104.0
93.37,93.0,99.0
93.49,93.0,103.0
